side,symbol,q,price
buy,USDT-USD,5999.871687201461,1.00002121925354,5999.999
buy,BTC-USD,0.02331524166548266,17155.6875,399.98900000000003
buy,BNB-USD,2.2879154105513178,297.2133483886719,679.999
buy,ETH-USD,0.21705168092259408,1290.0107421875,279.999
buy,XRP-USD,493.5920872877649,0.4051908552646637,199.999
buy,DOGE-USD,757.7396161841617,0.10557584464550018,79.999
buy,LINK-USD,36.68907494606142,7.631672382354736,279.999
buy,COMP5692-USD,5.209112799265319,38.39406204223633,199.99900000000002
buy,LPT-USD,26.447569550900884,7.562093734741211,199.999
buy,LDO-USD,140.29522170827764,1.1404451131820679,159.999
buy,SOL-USD,8.598242934733326,13.956223487854004,119.999
buy,RNDR-USD,656.0561729159629,0.48776158690452576,319.999
buy,SUSHI-USD,82.97560871682582,1.4461960792541504,119.999
buy,SNX-USD,115.24043321269485,1.7354933023452759,199.999
buy,AVAX-USD,21.296087218723773,13.147908210754395,279.999
buy,AAVE-USD,4.330052241154224,64.66411590576172,279.999
buy,INJ-USD,69.61883899497637,1.7236570119857788,119.999
sell,BTC-USD,0.0002922740439070966,17107.232421875,5.0
sell,BNB-USD,0.024259480575556904,296.4201965332031,7.191000000000002
sell,ETH-USD,0.003899420094541897,1282.241943359375,5.0
sell,LINK-USD,0.6640791937947264,7.52922248840332,5.0
sell,RNDR-USD,10.378929676836323,0.48174524307250977,5.0
sell,AVAX-USD,0.38222481953443177,13.081306457519531,5.0
sell,AAVE-USD,0.07771857281301482,64.33468627929688,5.0
buy,USDT-USD,37.18806016960669,1.0000252723693848,37.189
sell,BTC-USD,0.0004912267786615821,16979.9375,8.341
sell,BNB-USD,0.048560972793260944,292.0246276855469,14.181
sell,ETH-USD,0.004593112635595508,1271.6866455078125,5.840999999999999
sell,XRP-USD,12.564450111117976,0.39794817566871643,5.0
sell,LINK-USD,0.7581053563690254,7.704733848571777,5.841
sell,COMP5692-USD,0.13207830460276848,37.85633087158203,5.0
sell,LPT-USD,0.6633723354498765,7.537245273590088,5.0
sell,LDO-USD,4.514590250978602,1.1075202226638794,5.0
sell,SOL-USD,0.36713979509026995,13.618790626525879,5.0
sell,RNDR-USD,13.919468489868178,0.47997522354125977,6.681
sell,SUSHI-USD,3.637596422057917,1.374534010887146,5.0
sell,SNX-USD,2.8891851187304267,1.7305917739868164,5.0
sell,AVAX-USD,0.4470236279643341,13.066423416137695,5.841
sell,AAVE-USD,0.09160154944246993,63.765296936035156,5.841
sell,INJ-USD,2.9549987853961217,1.6920480728149414,5.0
buy,USDT-USD,92.55350544766033,1.0000593662261963,92.559
sell,BTC-USD,0.00046426059290801677,16932.30078125,7.861000000000001
sell,BNB-USD,0.046240598671948505,288.9452209472656,13.360999999999999
sell,ETH-USD,0.00432086235853033,1273.12548828125,5.501
sell,XRP-USD,12.838442256411543,0.3894553482532501,5.0
sell,LINK-USD,0.7200108217258104,7.640162944793701,5.501
sell,COMP5692-USD,0.13364021751609378,37.41388702392578,5.0
sell,LPT-USD,0.6635283659490153,7.535472869873047,5.0
sell,LDO-USD,4.539938605948036,1.1013364791870117,5.0
sell,RNDR-USD,13.115320850938193,0.4796680212020874,6.291
sell,SNX-USD,2.9103886613813934,1.717983603477478,5.0
sell,AVAX-USD,0.42527672184710036,12.935107231140137,5.501
sell,AAVE-USD,0.08708298848174457,63.16962814331055,5.501
buy,USDT-USD,74.50507428993748,1.0000526905059814,74.509
sell,USDT-USD,4.999565519897461,1.0000869035720825,5.0
sell,USDT-USD,80.55529585388456,1.0000708103179932,80.561
buy,BTC-USD,0.0004732791342105291,17006.876953125,8.049000000000001
buy,BNB-USD,0.04701171024150663,291.1827697753906,13.689
buy,ETH-USD,0.004358237940971016,1291.5770263671875,5.629
buy,XRP-USD,12.783138452095164,0.39114025235176086,5.0
buy,LINK-USD,0.738657853315622,7.620578289031982,5.629
buy,COMP5692-USD,0.13091403912039734,38.19300079345703,5.000000000000001
buy,LPT-USD,0.6536348941057315,7.649530410766602,5.0
buy,LDO-USD,4.471878412105651,1.1180983781814575,5.0
buy,RNDR-USD,13.282056049139989,0.4847894012928009,6.439
buy,SNX-USD,2.803880626448759,1.7832428216934204,5.0
buy,AVAX-USD,0.4193688021805573,13.422553062438965,5.629
buy,AAVE-USD,0.08571430257623538,65.6716537475586,5.629
buy,USDT-USD,68.4457199350102,1.0000479221343994,68.449
sell,BTC-USD,0.0003001648919772723,16960.677734375,5.091
sell,BNB-USD,0.029857653602475942,289.741455078125,8.651
sell,ETH-USD,0.00392275016965703,1274.615966796875,5.0
sell,XRP-USD,12.858576411357555,0.3888455331325531,5.0
sell,LINK-USD,0.6736104651371946,7.422687530517578,5.0
sell,COMP5692-USD,0.13298909094155895,37.597068786621094,5.0
sell,LPT-USD,0.6675905509645363,7.489620685577393,5.0
sell,RNDR-USD,10.246660579539313,0.48796385526657104,5.0
sell,SNX-USD,2.8811140929159955,1.7354397773742676,5.0
sell,AVAX-USD,0.37501741728613075,13.332714080810547,5.0
sell,AAVE-USD,0.07827031396265678,63.88117980957031,5.0
buy,USDT-USD,58.734938984798056,1.0000691413879395,58.739000000000004
sell,USDT-USD,62.027184584230724,1.0000615119934082,62.031
buy,BTC-USD,0.0003652140553227915,16973.607421875,6.199
buy,BNB-USD,0.036161430650110446,291.443115234375,10.538999999999998
buy,ETH-USD,0.0039289847516830794,1272.5933837890625,4.999999999999999
buy,XRP-USD,12.66104743858392,0.3949120342731476,5.0
buy,LINK-USD,0.6713605356460524,7.447563171386719,5.0
